train_name,train_type,status,confidence,matched_by,sample_train_no,train_count,row_count,data_quality_flags
07:46:00,INVALID,INVALID_NAME,0.990,INVALID_PATTERN,K,1,1,{TIME_AS_NAME}
12:16:00,INVALID,INVALID_NAME,0.990,INVALID_PATTERN,K,1,1,{TIME_AS_NAME}
14:15:00,INVALID,INVALID_NAME,0.990,INVALID_PATTERN,K,1,1,{TIME_AS_NAME}
14:54:00,INVALID,INVALID_NAME,0.990,INVALID_PATTERN,K,1,1,{TIME_AS_NAME}
18:46:00,INVALID,INVALID_NAME,0.990,INVALID_PATTERN,K,1,1,{TIME_AS_NAME}
ADB-QLN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7509,1,47,{ROUTE_CODE_STYLE}
AII BDTS SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9621,1,12,{}
AJNI-KRMI SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1119,1,24,{LIKELY_TRUNCATED}
ANVT RNC SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8618,1,15,{LIKELY_TRUNCATED}
ANVT-JSME BI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3502,1,5,{LIKELY_TRUNCATED}
ANVT-UHP EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4401,1,13,{LIKELY_TRUNCATED}
ASN-DHN MEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3301,1,13,{LIKELY_TRUNCATED}
ATT-JBP BI-W,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1708,1,17,{LIKELY_TRUNCATED}
AWB-QLN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7505,1,49,{ROUTE_CODE_STYLE}
BAND-SBP WEE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8302,1,15,{LIKELY_TRUNCATED}
BC-LKU SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5309,1,6,{ROUTE_CODE_STYLE}
BCT NDLS BI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9005,1,4,{}
BDTS AII SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9622,1,12,{}
BDTS BKN WEE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9011,1,20,{LIKELY_TRUNCATED}
BDTS GIMB WE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9433,1,14,{LIKELY_TRUNCATED}
BDTS NZM  SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9003,1,5,{LIKELY_TRUNCATED}
BDTS-JBP SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1705,1,14,{ROUTE_CODE_STYLE}
BGM-YPR TATK,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6582,1,85,{LIKELY_TRUNCATED}
BIDAR-PVR,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7517,1,9,{ROUTE_CODE_STYLE}
BJP-UBL SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6920,1,38,{ROUTE_CODE_STYLE}
BJU - SHC EX,UNKNOWN,UNKNOWN,0.100,UNMATCHED,23226,1,11,{LIKELY_TRUNCATED}
